user_id,registered_at,age,gender,height_cm,weight_kg,bmi,activity_level
47,2025-07-03T11:51:06,24,Female,161.9,57.2,21.8,Sedentary
48,2025-07-03T11:51:06,18,Other,178.9,65.4,20.4,Moderate
49,2025-07-03T11:51:06,63,Female,154.7,63.4,26.5,Light
50,2025-07-03T11:51:06,40,Male,174.9,60.9,19.9,Sedentary
51,2025-07-03T11:51:06,44,Female,170.8,60.5,20.7,Sedentary
52,2025-07-03T11:51:06,30,Male,184.0,88.8,26.2,Light
53,2025-07-03T11:51:06,54,Male,190.4,83.3,23.0,Sedentary
54,2025-07-03T11:51:06,32,Male,174.4,57.5,18.9,Moderate
55,2025-07-03T11:51:06,26,Female,162.6,58.1,22.0,Sedentary
56,2025-07-03T11:51:06,65,Female,155.5,59.8,24.7,Light
57,2025-07-03T11:51:06,61,Other,168.3,77.3,27.3,Sedentary
58,2025-07-03T11:51:06,56,Male,182.4,92.1,27.7,Light
59,2025-07-03T11:51:06,29,Other,176.3,73.2,23.6,Light
60,2025-07-03T11:51:06,49,Female,156.6,64.6,26.3,Moderate
61,2025-07-03T11:51:06,67,Male,167.2,72.3,25.9,Light
62,2025-07-03T11:51:06,34,Male,177.3,75.3,24.0,Light
63,2025-07-03T11:51:06,43,Female,163.9,64.2,23.9,Athlete
64,2025-07-03T11:51:06,68,Other,166.7,70.0,25.2,Sedentary
65,2025-07-03T11:51:06,54,Female,166.4,64.0,23.1,Light
66,2025-07-03T11:51:06,46,Male,185.0,68.5,20.0,Moderate
67,2025-07-03T11:51:06,22,Male,168.9,85.3,29.9,Moderate
68,2025-07-03T11:51:06,31,Other,165.8,66.0,24.0,Light
69,2025-07-03T11:51:06,45,Other,165.6,69.3,25.3,Light
70,2025-07-03T11:51:06,46,Male,176.4,84.4,27.1,Light
71,2025-07-03T11:51:06,19,Other,166.3,69.2,25.0,Active
72,2025-07-03T11:51:06,31,Other,170.8,76.0,26.1,Moderate
73,2025-07-03T11:51:06,26,Other,166.0,65.1,23.6,Moderate
74,2025-07-03T11:51:06,66,Other,165.9,73.1,26.6,Moderate
75,2025-07-03T11:51:06,24,Other,167.6,61.8,22.0,Active
76,2025-07-03T11:51:06,66,Female,169.0,76.4,26.7,Light
77,2025-07-03T11:51:06,62,Female,154.4,66.6,27.9,Active
78,2025-07-03T11:51:06,63,Female,166.5,51.6,18.6,Active
79,2025-07-03T11:51:06,25,Male,172.5,75.1,25.2,Light
80,2025-07-03T11:51:06,28,Female,163.5,63.6,23.8,Light
81,2025-07-03T11:51:06,40,Male,170.4,95.5,32.9,Light
82,2025-07-03T11:51:06,34,Male,172.5,83.6,28.1,Moderate
83,2025-07-03T11:51:06,49,Other,176.7,68.6,22.0,Sedentary
84,2025-07-03T11:51:06,33,Male,177.9,77.8,24.6,Light
85,2025-07-03T11:51:06,37,Female,171.7,68.5,23.2,Moderate
86,2025-07-03T11:51:06,23,Male,171.8,79.6,27.0,Sedentary
87,2025-07-03T11:51:06,57,Other,158.2,59.1,23.6,Light
88,2025-07-03T11:51:06,49,Male,181.5,71.4,21.7,Athlete
89,2025-07-03T11:51:06,45,Male,176.3,90.4,29.1,Sedentary
90,2025-07-03T11:51:06,36,Female,170.6,46.7,16.0,Moderate
91,2025-07-03T11:51:06,65,Other,168.8,84.5,29.7,Sedentary
92,2025-07-03T11:51:06,58,Male,165.7,48.8,17.8,Active
93,2025-07-03T11:51:06,60,Male,160.4,76.5,29.7,Moderate
94,2025-07-03T11:51:06,35,Female,166.3,61.6,22.3,Moderate
95,2025-07-03T11:51:06,56,Other,173.0,70.6,23.6,Light
96,2025-07-03T11:51:06,56,Other,163.3,80.5,30.2,Moderate
97,2025-07-03T11:51:06,38,Other,169.2,72.0,25.1,Light
98,2025-07-03T11:51:06,36,Female,173.2,57.9,19.3,Sedentary
99,2025-07-03T11:51:06,26,Female,174.3,54.7,18.0,Light
100,2025-07-03T11:51:06,52,Other,165.1,65.5,24.0,Sedentary
