user_id,registered_at,age,gender,height_cm,weight_kg,bmi,activity_level
53,2025-07-03T11:51:06.547480,25,Female,170.3,70.4,24.3,Moderate
54,2025-07-03T11:51:06.547493,53,Male,171.2,84.9,29.0,Moderate
55,2025-07-03T11:51:06.547504,68,Female,162.2,69.5,26.4,Light
56,2025-07-03T11:51:06.547516,23,Other,174.8,77.8,25.5,Sedentary
57,2025-07-03T11:51:06.547528,22,Female,157.2,53.6,21.7,Light
58,2025-07-03T11:51:06.547540,24,Other,156.3,69.6,28.5,Sedentary
59,2025-07-03T11:51:06.547553,63,Male,174.6,86.1,28.2,Active
60,2025-07-03T11:51:06.547565,49,Female,164.9,67.8,24.9,Active
61,2025-07-03T11:51:06.547576,18,Other,170.8,88.5,30.3,Active
62,2025-07-03T11:51:06.547588,58,Male,178.9,88.6,27.7,Sedentary
63,2025-07-03T11:51:06.547600,38,Male,181.8,82.5,25.0,Moderate
64,2025-07-03T11:51:06.547612,45,Male,169.7,65.9,22.9,Active
65,2025-07-03T11:51:06.547624,58,Male,167.2,86.2,30.8,Sedentary
66,2025-07-03T11:51:06.547637,37,Female,158.3,60.2,24.0,Light
67,2025-07-03T11:51:06.547649,23,Male,166.9,78.2,28.1,Moderate
68,2025-07-03T11:51:06.547662,41,Other,161.0,61.6,23.8,Athlete
69,2025-07-03T11:51:06.547674,24,Other,158.1,71.0,28.4,Moderate
70,2025-07-03T11:51:06.547685,45,Female,166.7,67.6,24.3,Athlete
71,2025-07-03T11:51:06.547697,63,Male,177.5,77.6,24.6,Sedentary
72,2025-07-03T11:51:06.547709,29,Male,169.5,87.4,30.4,Active
73,2025-07-03T11:51:06.547720,30,Female,172.1,64.4,21.7,Moderate
74,2025-07-03T11:51:06.547730,52,Male,180.3,71.9,22.1,Moderate
75,2025-07-03T11:51:06.547741,41,Female,164.0,69.4,25.8,Active
76,2025-07-03T11:51:06.547751,32,Male,175.6,87.4,28.3,Active
77,2025-07-03T11:51:06.547761,52,Female,164.1,54.9,20.4,Sedentary
78,2025-07-03T11:51:06.547772,21,Male,183.4,88.4,26.3,Light
79,2025-07-03T11:51:06.547783,57,Female,164.2,70.1,26.0,Active
80,2025-07-03T11:51:06.547793,54,Other,161.8,77.1,29.5,Active
81,2025-07-03T11:51:06.547803,43,Male,177.6,60.6,19.2,Athlete
82,2025-07-03T11:51:06.547813,63,Other,162.4,60.7,23.0,Moderate
83,2025-07-03T11:51:06.547823,20,Male,171.2,77.0,26.3,Sedentary
84,2025-07-03T11:51:06.547833,54,Female,155.4,65.5,27.1,Light
85,2025-07-03T11:51:06.547844,61,Female,149.2,65.5,29.4,Moderate
86,2025-07-03T11:51:06.547854,39,Other,174.0,85.0,28.1,Light
87,2025-07-03T11:51:06.547864,56,Other,174.6,72.5,23.8,Light
88,2025-07-03T11:51:06.547874,31,Male,172.0,81.4,27.5,Moderate
89,2025-07-03T11:51:06.547884,35,Male,166.6,79.4,28.6,Moderate
90,2025-07-03T11:51:06.547894,65,Male,179.3,81.0,25.2,Light
91,2025-07-03T11:51:06.547904,41,Other,166.7,76.6,27.6,Sedentary
92,2025-07-03T11:51:06.547914,20,Female,157.2,61.1,24.7,Light
93,2025-07-03T11:51:06.547924,51,Other,180.6,69.0,21.2,Light
94,2025-07-03T11:51:06.547936,38,Female,163.9,77.3,28.8,Moderate
95,2025-07-03T11:51:06.547945,62,Other,173.7,78.8,26.1,Active
96,2025-07-03T11:51:06.547956,26,Female,168.8,55.9,19.6,Light
97,2025-07-03T11:51:06.547967,51,Other,168.8,67.9,23.8,Moderate
98,2025-07-03T11:51:06.547978,29,Male,162.8,96.0,36.2,Active
99,2025-07-03T11:51:06.547989,58,Female,159.3,67.9,26.8,Sedentary
100,2025-07-03T11:51:06.547999,47,Male,178.0,77.3,24.4,Light
